adsorbate,surface,configuration,run,runtime,n_oh,n_o_not_in_ring,n_co,n_furan,Eads_CO,hbonds_aimd
fa,Au111,None,1,12.02,1,2,1,1,-0.35,2.06
fa,Au111,None,2,11.52,1,2,1,1,-0.35,1.30
fa,Au111,None,3,14.43,1,2,1,1,-0.35,1.30
fa,Cu111,None,1,13.31,1,2,1,1,-0.77,1.81
fa,Cu111,None,2,9.75,1,2,1,1,-0.77,1.76
fa,Cu111,None,3,12.31,1,2,1,1,-0.77,1.45
fa,Pt111,None,1,10.97,1,2,1,1,-1.83,2.29
fa,Pt111,None,2,4.9,1,2,1,1,-1.83,1.84
fa,Pt111,None,3,8.54,1,2,1,1,-1.83,1.91
furan,Au111,None,1,20.85,0,0,0,1,-0.35,0.24
furan,Au111,None,2,18.91,0,0,0,1,-0.35,0.19
furan,Au111,None,3,22.74,0,0,0,1,-0.35,0.27
furan,Cu111,None,1,13.25,0,0,0,1,-0.77,0.25
furan,Cu111,None,2,9.83,0,0,0,1,-0.77,0.10
furan,Cu111,None,3,9.47,0,0,0,1,-0.77,0.28
furan,Pt111,None,1,13.58,0,0,0,1,-1.83,0.42
furan,Pt111,None,2,15.76,0,0,0,1,-1.83,0.38
furan,Pt111,None,3,15.41,0,0,0,1,-1.83,0.34
fur,Au111,None,1,17.97,0,1,1,1,-0.35,1.25
fur,Au111,None,2,19.08,0,1,1,1,-0.35,0.67
fur,Au111,None,3,13.21,0,1,1,1,-0.35,0.95
fur,Cu111,None,1,17.66,0,1,1,1,-0.77,1.06
fur,Cu111,None,2,18.46,0,1,1,1,-0.77,0.99
fur,Cu111,None,3,18.9,0,1,1,1,-0.77,0.95
fur,Pt111,None,1,13.51,0,1,1,1,-1.83,0.82
fur,Pt111,None,2,13.72,0,1,1,1,-1.83,0.81
fur,Pt111,None,3,8.34,0,1,1,1,-1.83,0.83
hmf,Au111,oh-up,1,42.42,1,2,1,1,-0.35,2.70
hmf,Au111,oh-up,2,37.84,1,2,1,1,-0.35,2.90
hmf,Au111,oh-up,3,32.95,1,2,1,1,-0.35,2.42
hmf,Au111,oh-down,1,32.3,1,2,1,1,-0.35,2.22
hmf,Au111,oh-down,2,34.38,1,2,1,1,-0.35,1.94
hmf,Au111,oh-down,3,36.31,1,2,1,1,-0.35,2.17
hmf,Cu111,oh-up,1,42.73,1,2,1,1,-0.77,2.98
hmf,Cu111,oh-up,2,37.02,1,2,1,1,-0.77,2.77
hmf,Cu111,oh-up,3,39.65,1,2,1,1,-0.77,2.03
hmf,Cu111,oh-down,1,38.39,1,2,1,1,-0.77,2.35
hmf,Cu111,oh-down,2,39.5,1,2,1,1,-0.77,2.26
hmf,Cu111,oh-down,3,39.72,1,2,1,1,-0.77,2.06
hmf,Pt111,oh-up,1,39.33,1,2,1,1,-1.83,2.04
hmf,Pt111,oh-up,2,36.45,1,2,1,1,-1.83,2.87
hmf,Pt111,oh-up,3,33.45,1,2,1,1,-1.83,2.68
hmf,Pt111,oh-down,1,44.54,1,2,1,1,-1.83,2.32
hmf,Pt111,oh-down,2,27.19,1,2,1,1,-1.83,2.12
hmf,Pt111,oh-down,3,31.9,1,2,1,1,-1.83,2.07
fal,Au111,None,1,17.06,1,1,0,1,-0.35,1.29
fal,Au111,None,2,13.31,1,1,0,1,-0.35,1.79
fal,Au111,None,3,19,1,1,0,1,-0.35,1.97
fal,Cu111,None,1,8.16,1,1,0,1,-0.77,0.61
fal,Cu111,None,2,9.89,1,1,0,1,-0.77,0.81
fal,Cu111,None,3,10.38,1,1,0,1,-0.77,1.63
fal,Pt111,None,1,12.83,1,1,0,1,-1.83,0.85
fal,Pt111,None,2,10.26,1,1,0,1,-1.83,1.44
fal,Pt111,None,3,8.4,1,1,0,1,-1.83,0.64
co,Cu111,None,1,/,0,0,1,0,-0.77,0.32
co,Au111,None,1,/,0,0,1,0,-0.35,0.11
co,Pt111,None,1,/,0,0,1,0,-1.83,0.44
oh,Cu211,None,1,/,1,1,0,0,-1.01,2.04
oh,Cu111,None,1,/,1,1,0,0,-0.77,2.39
oh,Au111,None,1,/,1,1,0,0,-0.35,2.96
oh,Pt111,None,1,/,1,1,0,0,-1.83,2.76
cho,Cu211,None,1,/,0,1,1,0,-1.01,1.16
coh,Cu211,None,1,/,1,1,0,0,-1.01,1.77
occho,Cu211,None,1,/,0,2,2,0,-1.01,2.98
ooh,Au111,None,1,/,1,2,0,0,-0.35,3.42
ooh,Pt111,None,1,/,1,2,0,0,-1.83,2.91
